"28cell1te" "28cell2te" "28cell3te" "blastula2te" "blastula3te" "dlarv1te" "dlarv2te" "dlarv3te" "gastrula1te" "gastrula2te" "gastrula3te" "morula1te" "morula2te" "ovo1te" "ovo2te" "spat1te" "spat2te" "spat3te" "troc1te" "troc2te"
"11946" 15 12 8 13 7 16 21 17 10 32 27 19 17 18 8 22 14 18 36 27
"11947" 6 0 10 1 2 1 1 1 2 1 1 1 0 0 2 4 5 10 2 1
"11950" 2 0 4 3 4 0 0 1 2 1 2 4 4 1 0 2 2 0 0 3
"11959" 10 4 10 0 1 2 1 0 1 4 2 0 0 0 0 4 1 0 4 0
"1197" 2 3 3 5 5 5 1 2 2 5 4 0 4 4 0 0 0 0 5 3
"1198" 1 7 4 5 2 6 3 5 16 3 2 6 6 2 1 0 1 2 18 6
"11992" 72 24 111 5 7 17 22 21 9 12 14 8 15 5 2 76 76 118 54 19
"12001" 1 2 1 3 0 2 4 1 2 2 3 1 4 5 0 1 1 0 0 1
"12002" 8 14 13 19 12 25 14 10 15 15 8 12 14 26 2 2 5 3 35 10
"12003" 0 2 3 6 2 0 1 1 2 9 3 1 3 2 0 3 2 0 5 0
"12008" 9 6 3 6 0 3 6 4 4 3 5 8 2 3 1 6 14 28 14 3
"12024" 12 2 13 2 2 9 5 3 5 8 10 2 1 3 0 6 7 6 8 6
"12030" 1 5 0 1 3 7 7 1 4 7 8 6 1 1 0 0 0 0 6 1
"12031" 21 9 11 5 2 7 16 7 5 9 11 4 2 0 0 2 5 8 12 8
"1204" 3 5 5 2 2 8 2 4 7 9 8 13 9 2 0 4 3 3 15 3
"12042" 3 1 7 3 3 2 7 0 6 3 8 0 2 0 0 11 7 7 12 11
"1205" 43 22 49 30 26 20 26 14 40 21 27 35 36 35 7 20 16 22 52 37
"12055" 0 1 0 1 0 4 0 0 0 0 0 0 3 1 1 0 0 0 4 1
"1206" 2 2 4 2 0 1 6 7 7 3 3 5 5 5 1 26 33 29 11 9
"12061" 3 0 2 5 2 7 3 3 4 4 6 5 5 4 1 9 4 8 8 3
"12062" 2 4 0 4 3 3 2 3 3 11 4 2 4 4 1 0 0 1 4 2
"12063" 0 1 0 3 1 0 3 1 0 1 0 1 1 2 1 0 3 0 2 0
"1207" 12 2 8 6 16 25 12 6 13 8 18 13 15 6 0 4 2 9 46 21
"12072" 14 26 11 13 31 39 35 16 22 39 42 42 31 25 3 0 2 2 58 40
"12075" 0 2 0 5 1 1 2 6 2 4 4 3 5 1 0 0 0 1 12 7
"1208" 5 5 2 7 1 3 6 2 7 3 6 1 2 3 0 2 2 4 12 4
"12098" 20 7 23 6 5 24 21 8 10 11 15 18 9 12 0 68 43 70 31 28
"12099" 2 1 0 0 3 1 2 2 1 1 0 1 4 3 0 0 0 0 4 1
"12109" 7 16 7 11 12 34 30 16 38 33 33 51 27 16 6 50 24 49 71 57
"1211" 6 1 0 2 1 3 4 5 1 4 1 6 4 5 0 0 0 1 3 5
"12110" 0 0 0 1 0 0 2 1 1 0 3 2 0 0 1 1 1 4 3 0
"12111" 0 3 0 0 1 0 2 0 0 6 3 0 0 1 3 0 0 0 3 1
"12119" 7 1 1 5 5 6 3 7 5 16 10 11 9 3 0 13 5 12 9 6
"1213" 43 21 55 17 18 12 10 1 14 20 17 15 13 27 8 9 7 9 16 13
"12138" 7 0 6 1 0 2 2 3 3 5 3 4 1 0 0 1 1 4 4 5
"12139" 0 0 2 0 1 0 0 1 1 3 0 0 0 0 0 6 6 6 0 0
"12162" 2 1 0 2 0 0 1 0 2 1 2 5 0 1 2 1 0 2 3 1
"12171" 5 1 6 0 3 3 7 4 10 5 2 1 4 1 0 1 0 1 7 1
"12175" 0 2 1 4 1 1 3 1 1 1 0 4 2 0 0 2 1 1 4 2
"12177" 9 2 10 0 1 4 0 1 1 1 0 3 0 0 0 1 3 1 4 3
"12195" 1 0 0 3 0 10 1 0 1 0 0 3 2 2 0 1 0 0 3 3
"12225" 1 0 0 2 1 3 1 4 2 3 5 0 4 1 0 0 0 0 3 3
"12241" 1 1 2 3 2 1 4 1 2 14 14 2 3 2 0 0 0 0 11 1
"12242" 0 7 2 0 3 5 2 0 5 19 13 5 2 0 0 0 0 0 13 4
"12250" 21 6 26 7 1 10 6 1 1 3 2 6 3 9 4 15 7 6 4 2
"12267" 8 7 1 7 17 15 19 14 22 22 23 22 20 9 2 6 6 6 34 36
"12271" 116 15 129 15 25 39 37 29 37 47 40 56 35 19 2 172 122 153 90 54
"12305" 2 0 2 1 1 0 3 0 0 2 5 2 0 4 0 0 2 1 2 5
"12340" 10 10 14 20 24 29 32 22 32 34 30 42 27 20 4 107 77 103 59 47
